2026-05-02 01:36:56 | INFO | search_model_configurations | Log file: /mntdata/src/Neuro-Spectrum/logs/search_model_configurations.log
2026-05-02 01:36:56 | INFO | search_model_configurations | Prepared 24/375 mlp trials for lag=16
2026-05-02 01:36:56 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 0, 'learning_rate': 0.02}
2026-05-02 01:37:00 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.082522e+01 final_test_mse=6.163417e+01
2026-05-02 01:37:01 | INFO | search_model_configurations | Saved search progress after 1 completed trials
2026-05-02 01:37:01 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 1, 'learning_rate': 0.02}
2026-05-02 01:37:04 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=9.471091e+00 final_test_mse=1.271150e+02
2026-05-02 01:37:05 | INFO | search_model_configurations | Saved search progress after 2 completed trials
2026-05-02 01:37:05 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 1, 'learning_rate': 1e-05}
2026-05-02 01:37:09 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=1.168289e+02 final_test_mse=1.079898e+02
2026-05-02 01:37:10 | INFO | search_model_configurations | Saved search progress after 3 completed trials
2026-05-02 01:37:10 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 4, 'learning_rate': 0.2}
2026-05-02 01:37:13 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=2.092049e+01 final_test_mse=1.252819e+02
2026-05-02 01:37:15 | INFO | search_model_configurations | Saved search progress after 4 completed trials
2026-05-02 01:37:15 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 32, 'num_hidden_layers': 4, 'learning_rate': 0.005}
2026-05-02 01:37:18 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=7.190289e-01 final_test_mse=1.726904e+02
2026-05-02 01:37:19 | INFO | search_model_configurations | Saved search progress after 5 completed trials
2026-05-02 01:37:19 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 0, 'learning_rate': 0.02}
2026-05-02 01:37:22 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.177473e+01 final_test_mse=5.730091e+01
2026-05-02 01:37:23 | INFO | search_model_configurations | Saved search progress after 6 completed trials
2026-05-02 01:37:23 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 1, 'learning_rate': 0.0003}
2026-05-02 01:37:26 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.380908e+01 final_test_mse=6.025720e+01
2026-05-02 01:37:27 | INFO | search_model_configurations | Saved search progress after 7 completed trials
2026-05-02 01:37:27 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 2, 'learning_rate': 0.0005}
2026-05-02 01:37:30 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=3.221130e+01 final_test_mse=7.467912e+01
2026-05-02 01:37:31 | INFO | search_model_configurations | Saved search progress after 8 completed trials
2026-05-02 01:37:31 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 3, 'learning_rate': 0.002}
2026-05-02 01:37:35 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=4.279077e-02 final_test_mse=1.424301e+02
2026-05-02 01:37:52 | INFO | search_model_configurations | Saved search progress after 9 completed trials
2026-05-02 01:37:52 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 64, 'num_hidden_layers': 4, 'learning_rate': 0.1}
2026-05-02 01:37:56 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.415015e-01 final_test_mse=1.279060e+02
2026-05-02 01:38:06 | INFO | search_model_configurations | Saved search progress after 10 completed trials
2026-05-02 01:38:06 | INFO | search_model_configurations | Search trial model=mlp lag=16 config={'model_type': 'mlp', 'hidden': 128, 'num_hidden_layers': 0, 'learning_rate': 0.02}
2026-05-02 01:38:09 | INFO | search_model_configurations | Search result model=mlp lag=16 final_train_mse=5.291164e+01 final_test_mse=5.430386e+01
