best_epoch,best_test_mse,epochs,final_test_mse,final_train_mse,hidden,lag,learning_rate,loss_history_npz,model_type,num_hidden_layers,num_layers
176,60.86185213414634,600,61.634174923780485,50.825218200683594,32,16,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_32_layers_0_lr_0p02.npz,mlp,0,
37,63.898875762195125,600,127.11501524390243,9.471091270446777,32,16,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_32_layers_1_lr_0p02.npz,mlp,1,
600,107.98976753048781,600,107.98976753048781,116.82891082763672,32,16,1e-05,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_32_layers_1_lr_1em05.npz,mlp,1,
24,67.15486375762195,600,125.28186928353658,20.92049217224121,32,16,0.2,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_32_layers_4_lr_0p2.npz,mlp,4,
42,64.20730754573171,600,172.6903582317073,0.719028890132904,32,16,0.005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_32_layers_4_lr_0p005.npz,mlp,4,
196,56.78392721036585,600,57.30090510670732,51.77473068237305,64,16,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_64_layers_0_lr_0p02.npz,mlp,0,
600,60.25720274390244,600,60.25720274390244,53.809078216552734,64,16,0.0003,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_64_layers_1_lr_0p0003.npz,mlp,1,
165,60.40793635670732,600,74.67911585365853,32.21129608154297,64,16,0.0005,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_64_layers_2_lr_0p0005.npz,mlp,2,
62,61.071827362804875,600,142.43009717987806,0.04279077425599098,64,16,0.002,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_64_layers_3_lr_0p002.npz,mlp,3,
41,57.0755859375,600,127.90597370426829,0.5415014624595642,64,16,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_64_layers_4_lr_0p1.npz,mlp,4,
201,53.584432164634144,600,54.30386337652439,52.91163635253906,128,16,0.02,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_128_layers_0_lr_0p02.npz,mlp,0,
53,57.62917301829268,600,110.36321455792682,0.8387717008590698,128,16,0.001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_128_layers_3_lr_0p001.npz,mlp,3,
27,66.0242568597561,600,95.53088795731708,23.276447296142578,128,16,0.1,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_128_layers_4_lr_0p1.npz,mlp,4,
54,55.067978277439025,600,55.419936166158536,52.253334045410156,256,16,0.2,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_256_layers_0_lr_0p2.npz,mlp,0,
600,114.3198075457317,600,114.3198075457317,110.70161437988281,256,16,0.0001,outputs/neural_spectral_estimation/configuration_search/loss_histories/mlp_lag_16_hidden_256_layers_0_lr_0p0001.npz,mlp,0,
